id,CEq,PEq,name,cds,ef1,ef2,ef3,ef4,ef5
1,1,1,pl1.S1,1,25,10,35,15,30
2,2,2,pl1.S2,2,10,5,15,10,15
3,3,3,pl1.S3,1,15,10,15,10,20
4,4,4,pl1.S4,3,10,5,15,15,25
5,5,5,pl1.S5,1,10,15,15,5,30
6,6,6,pl1.S6,2,5,5,15,5,10
7,7,7,pl1.S7,2,10,5,10,10,10
13,7,7,pl2.S11,2,10,5,10,10,10
8,8,8,pl1.S8,1,20,10,35,20,35
9,9,9,pl1.S9,2,15,5,30,10,30
10,10,10,pl2.S10,1,40,10,35,20,45
11,6,11,pl2.S12,2,5,5,15,5,10
12,5,12,pl2.S13,4,10,15,15,5,30
14,14,14,pl3.S14,2,15,10,15,20,15
15,15,15,pl3.S15,2,10,5,10,20,15
16,7,16,pl3.S16,2,10,5,10,10,10
